,Average electricity cost assumption: 0.05 USD/kWh,,,,,,
Timestamp,Date and Time,"power MAX, GW","power MIN, GW","power GUESS, GW","annualised consumption MAX, TWh","annualised consumption MIN, TWh","annualised consumption GUESS, TWh"
1377734400,2013-08-29T00:00:00,0.361160959476182,0.00543325468802958,0.0994570487848438,3.16593697076821,0.0476279105952673,0.871840489647941
1377820800,2013-08-30T00:00:00,0.377803212116241,0.00568361839651877,0.104040017373455,3.31182295741097,0.0498225988638835,0.912014792295706
1377907200,2013-08-31T00:00:00,0.398219615259965,0.00599075989446536,0.10966231721013,3.49079314736886,0.0525150012348834,0.961299872664002
1377993600,2013-09-01T00:00:00,0.419980253185574,0.00631812387144478,0.115654794444922,3.68154689942474,0.0553846738570849,1.01382992810419
1378080000,2013-09-02T00:00:00,0.435212700494388,0.00654727866677708,0.119849528718811,3.81507453253381,0.0573934447929679,1.0506009687491
1378166400,2013-09-03T00:00:00,0.442984352820201,0.00666419431151952,0.1219896980373,3.88320083682188,0.0584183273347801,1.06936169299498
1378252800,2013-09-04T00:00:00,0.451140941677957,0.00678690088731888,0.124235871757517,3.95470149474897,0.0594939731782373,1.0890516518264
1378339200,2013-09-05T00:00:00,0.465959661371152,0.00700983162258004,0.128316673097708,4.08460239157952,0.0614481840035366,1.12482395637451
1378425600,2013-09-06T00:00:00,0.478270639726866,0.00719503624979784,0.131706888852726,4.19252042784571,0.0630716877657278,1.15454258768299
1378512000,2013-09-07T00:00:00,0.468545261613222,0.00704872902903551,0.129028699585252,4.10726776330151,0.0617891586685253,1.13106558056432
1378598400,2013-09-08T00:00:00,0.464373840569053,0.00698597475743083,0.127879967377613,4.07070108642832,0.0612390547236386,1.12099579403215
1378684800,2013-09-09T00:00:00,0.480974502072444,0.00723571277470853,0.132451482536389,4.21622248516705,0.0634282581830949,1.16106969591399
1378771200,2013-09-10T00:00:00,0.499171130830997,0.00750946029894851,0.137462497560781,4.37573413286452,0.0658279289805827,1.20499625361781
1378857600,2013-09-11T00:00:00,0.517884193886872,0.00779097698813658,0.142615729039514,4.53977284361232,0.0682957042780053,1.25016948076038
1378944000,2013-09-12T00:00:00,0.53185885004705,0.00800120975029896,0.14646409089316,4.66227467951244,0.0701386046711206,1.28390422076944
