Date,Price,Market_Cap,Energy_TWh_Annual,electricity_price,daily_energy_kwh,daily_cost_usd,cumulative_cost,CEIR,log_CEIR,post_china_ban,period
2019-05-02,5309.5,94636726036.04298,47.689065717747,0.041842,130654974.56916986,5466865.445923206,2265149678.414966,41.77945808078557,3.7324047852636753,0,Pre-ban
2019-05-11,6291.06,112217259686.33968,43.5700306195775,0.041842,119369946.90295206,4994677.31831332,2312267477.4913588,48.53126239879792,3.882208175829632,0,Pre-ban
2019-05-21,7967.0,142231273243.86264,48.6417748894452,0.041842,133265136.68341152,5576079.849107305,2366439564.741005,60.103488533175,4.09606788533371,0,Pre-ban
2019-05-30,8642.5,154406627517.94388,56.0391411349003,0.041842,153531893.5202748,6424081.488675338,2420797863.199162,63.78336244641697,4.155492379640659,0,Pre-ban
2019-06-08,8043.25,143807902238.61404,50.2882495267439,0.041842,137776026.10066822,5764824.48410416,2474993703.927485,58.10435073447261,4.0622405446079775,0,Pre-ban
2019-06-18,9300.0,166415177171.5993,46.2330229168521,0.041842,126665816.21055368,5299951.081881988,2530424522.717324,65.7657146765605,4.1860986489879854,0,Pre-ban
2019-06-27,12723.75,227848579673.973,54.7290888522965,0.041842,149942709.18437397,6273902.837692576,2582612990.5935163,88.22405079810683,4.479879610626798,0,Pre-ban
2019-07-06,11028.7,197640130345.01083,61.8688825351955,0.041842,169503787.76765892,7092377.487774385,2643896988.1691084,74.753339948345,4.314193892855815,0,Pre-ban
2019-07-16,10799.0,193681259352.87857,61.8282940515737,0.041842,169392586.44266766,7087724.601934101,2715083940.930712,71.33527491841963,4.267390944465844,0,Pre-ban
2019-07-25,9644.5,173101179842.79868,59.2475035283843,0.041842,162321927.47502548,6791874.089410016,2777216882.868316,62.32901035227015,4.132426973144094,0,Pre-ban
2019-08-03,10403.6,186860983886.7079,61.1940253111889,0.041842,167654863.86627096,7015014.81389251,2839021250.3971148,65.81880423070812,4.186905576086541,0,Pre-ban
2019-08-13,11414.15,205175906532.08627,61.1619997604865,0.041842,167567122.63146988,7011343.545145963,2909511878.1255884,70.51901319759105,4.255882364204183,0,Pre-ban
2019-08-22,10144.35,182481308138.0072,59.4064283828008,0.041842,162757338.0350707,6810092.538063428,2972145111.619316,61.397173181287165,4.117363794700534,0,Pre-ban
2019-08-31,9453.1,170168135053.788,64.3625114651168,0.041842,176335647.84963506,7378236.177324431,3036738009.401259,56.036488668753925,4.026003061917478,0,Pre-ban
2019-09-10,10216.03,184046936216.0693,70.6739041353343,0.041842,193627134.6173542,8101746.566659336,3114336415.5219736,59.09667796284699,4.079174712389665,0,Pre-ban
2019-09-19,10189.97,183707092274.5449,75.1914942196596,0.04253925,206004093.75249207,8763259.6451607,3191288181.707153,57.5651842812492,4.052917945392965,0,Pre-ban
2019-09-28,8088.1,145916563588.47946,75.5244560480689,0.04253925,206916317.9399148,8802064.977925519,3270745984.506304,44.61262485062855,3.798016887369461,0,Pre-ban
2019-10-08,8217.5,148366201758.00665,72.1636312671069,0.04253925,197708578.8139915,8410374.661313087,3354733964.447142,44.22592173637748,3.7893110818044073,0,Pre-ban
2019-10-17,7986.0,144286749798.17166,69.4273528857357,0.04319425,190211925.7143444,8216061.4722868195,3429599745.7639217,42.07101717230641,3.739359075401573,0,Pre-ban
2019-10-26,9674.25,174910078423.25082,72.714496415106,0.04319425,199217798.3975507,8605063.388433404,3505982801.72188,49.88902921524541,3.909801123179826,0,Pre-ban
2019-11-05,9438.5,170778236537.72437,67.6136975497646,0.04319425,185243006.9856564,8001432.754490188,3585525029.8411074,47.62991057554893,3.863460937329355,0,Pre-ban
2019-11-14,8751.25,158451695211.1504,68.5827169492125,0.04319425,187897854.6553767,8116106.908448004,3657633303.14909,43.32082581234407,3.768633485024593,0,Pre-ban
2019-11-23,7324.46,132708333761.2386,68.8487572813574,0.0423686499999999,188626732.27769148,7991860.000517212,3730596736.760726,35.57295069004674,3.571585536977149,0,Pre-ban
2019-12-03,7318.98,132708910174.67662,66.0262727789468,0.0423686499999999,180893898.0245118,7664230.252536232,3806082690.365233,34.86758459310873,3.5515575893783704,0,Pre-ban
2019-12-12,7223.8,131071402580.12009,64.9276024508233,0.0423686499999999,177883842.33102274,7536698.256378286,3876250573.80887,33.81396534727296,3.5208738931101142,0,Pre-ban
2019-12-21,7194.51,130627531880.92332,67.3775312590382,0.04240135,184595976.05215943,7827118.58917923,3944098024.556567,33.11974780231526,3.500129714823673,0,Pre-ban
2019-12-31,7240.48,131559679233.28008,68.2659108645395,0.04240135,187029892.7795603,7930319.944208609,4023158778.244335,32.70059336079482,3.487393223328634,0,Pre-ban
2021-01-01,28987.6,539820189658.772,86.6616943293149,0.0532036,237429299.5323696,12632093.48060038,7228973465.49928,74.67452913405991,4.313139058545767,0,Pre-ban
2021-01-05,31025.6,577912666142.9678,92.4642761577557,0.0532036,253326783.99385124,13477896.884895263,7281598472.636453,79.36618152109156,4.374072352094033,0,Pre-ban
2021-01-09,40093.25,746995905980.6354,95.1248975574201,0.0532036,260616157.69156197,13865717.807358786,7336747880.568102,101.8156706678046,4.623164028102569,0,Pre-ban
2021-01-14,37267.58,694558780636.8242,95.8885892495878,0.0532036,262708463.6975008,13977036.019176356,7407060542.426634,93.76982632428695,4.540843123284004,0,Pre-ban
2021-01-18,35797.97,667329993645.9391,96.1049401831645,0.0534826,263301205.9812726,14082033.07901401,7464103207.014059,89.40524737370264,4.493179375912244,0,Pre-ban
