Date,Price,Market_Cap,Energy_TWh_Annual,electricity_price,daily_energy_kwh,daily_cost_usd,cumulative_cost,CEIR,log_CEIR,post_china_ban
2023-08-31,27248.0,531367154157.19293,111.956983631945,0.08074747500000001,306731462.0053288,24767791.05998874,26603958076.789093,19.973236787678967,2.9943932168014835,1
2023-09-01,25990.5,506862952774.51044,113.302943677798,0.08074747500000001,310419023.77478904,25065552.361779187,26629023629.15087,19.034229712412213,2.946238922107968,1
2023-09-02,25759.76,502381408409.9431,114.523224729982,0.08074747500000001,313762259.5341973,25335510.20768111,26654359139.35855,18.84800177649415,2.9364069017228935,1
2023-09-03,25869.0,504530251180.7625,119.173408199306,0.08074747500000001,326502488.2172767,26364251.504762348,26680723390.86331,18.909916488753694,2.939686466412793,1
2023-09-04,25929.0,505718864151.45197,122.523644927141,0.08074747500000001,335681218.97846854,27105410.837433416,26707828801.700745,18.935229363131455,2.9410241744639936,1
2023-09-05,25826.0,503728288088.0139,118.120976413877,0.08074747500000001,323619113.4626767,26131426.273849655,26733960227.974594,18.842262193571653,2.936102335908686,1
2023-09-06,25709.75,501479110485.27094,118.818968416303,0.08074747500000001,325531420.3186383,26285840.223893743,26760246068.198486,18.739704754853577,2.930644521875793,1
2023-09-07,25680.5,500926791307.11426,118.635082045064,0.08074747500000001,325027622.0412712,26245159.785087,26786491227.983574,18.70072444515619,2.928562263492836,1
2023-09-08,25996.0,507099399616.855,116.102047514361,0.08074747500000001,318087801.40920824,25684786.792095013,26812176014.77567,18.913026653912848,2.93985092559591,1
2023-09-09,25893.0,505108543969.50806,115.514141016656,0.08074747500000001,316477098.67576987,25554726.613394264,26837730741.389065,18.820836561659487,2.934964583841993,1
2023-09-10,25841.0,504112453970.55676,113.761527899489,0.08074747500000001,311675418.9027096,25167003.095961075,26862897744.485027,18.766123400594466,2.9320532975999662,1
2023-09-11,25723.5,501838445497.8064,114.443590597069,0.08074747500000001,313544083.8275863,25317893.070265934,26888215637.555294,18.663880573647248,2.926590135944223,1
2023-09-12,25088.56,489469185451.66864,116.005717041402,0.08074747500000001,317823882.30521095,25663475.99084297,26913879113.54614,18.186497137282295,2.900679403193278,1
2023-09-13,26069.0,508615669891.43976,117.352922530362,0.08074747500000001,321514856.2475671,25961512.816979025,26939840626.363117,18.879683697672377,2.9380864072757653,1
2023-09-14,26217.0,511521736491.00946,119.186563188869,0.08074747500000001,326538529.2845726,26367161.7299428,26966207788.09306,18.96899039385405,2.9428055613315762,1
2023-09-15,26591.25,518842543059.494,125.489699546537,0.08074747500000001,343807396.0179096,27761579.114771258,26993969367.207832,19.220683553482203,2.9559869676070427,1
2023-09-16,26681.0,520612567939.9645,125.948108859676,0.08074747500000001,345063311.9443178,27862991.15464101,27021832358.362473,19.26636806252149,2.9583609884050754,1
2023-09-17,26549.57,518066783422.39075,126.177313090502,0.08074747500000001,345691268.7411014,27913697.08039037,27049746055.442863,19.152371425614437,2.9524265421955698,1
2023-09-18,26512.25,517357257142.84076,126.259138150941,0.08074747500000001,345915446.98887944,27931798.907848373,27077677854.35071,19.106411558837358,2.9500239624321756,1
2023-09-19,26780.25,522605867012.222,126.943263465381,0.08074747500000001,347789762.91885203,28083145.186545935,27105760999.53726,19.28025068254471,2.9590812913045474,1
2023-09-20,27189.0,530601624994.5345,128.166477455821,0.08074747500000001,351141034.125537,28353751.87452595,27134114751.411785,19.55477928267136,2.973219721141547,1
2023-09-21,27082.75,528547205121.75085,126.680529591528,0.08074747500000001,347069944.0863781,28025021.633366216,27162139773.04515,19.458967869912236,2.9683080368061594,1
2023-09-22,26602.42,519191814259.39124,121.10102777672,0.08074747500000001,331783637.74443835,26790690.994178098,27188930464.03933,19.09570569339186,2.949463476967191,1
2023-09-23,26556.7,518318202998.4249,122.64507855006,0.08074747500000001,336013913.83578086,27132275.107106872,27216062739.146435,19.044569670722353,2.9467820042813444,1
2023-09-24,26600.0,519182021660.445,123.639088309675,0.08074747500000001,338737228.2456849,27352175.86933774,27243414915.015774,19.057156501121565,2.9474427003768606,1
2023-09-25,26680.0,520762233207.7703,123.281481751249,0.08074747500000001,337757484.24999726,27273064.015539553,27270687979.031315,19.096043107096868,2.9494811464227992,1
2023-09-26,26284.0,513051253384.42236,123.270529839268,0.08074747500000001,337727479.0116931,27270641.16830972,27297958620.199623,18.79449157801788,2.9335638257334127,1
2023-09-27,26152.0,510493048900.54315,124.180098507554,0.08074747500000001,340219447.9659014,27471861.369140428,27325430481.568764,18.681976455773498,2.9275592331872304,1
2023-09-28,26239.0,512209734373.2646,124.750028569472,0.08074747500000001,341780900.19033426,27597944.693596516,27353028426.26236,18.725887546750712,2.92990692730539,1
2023-09-29,27100.48,529045648258.6705,126.554736861721,0.08074747500000001,346725306.47046846,27997193.016091496,27381025619.27845,19.321615472510995,2.961224441878296,1
2023-09-30,26938.0,525892671571.3056,123.929786690889,0.08074747500000001,339533662.1668192,27416485.897473685,27408442105.175922,19.18725148818268,2.9542460735075897,1
2023-10-01,26986.2,526852571353.00085,122.717958724583,0.08074747500000001,336213585.5468027,27148398.093600817,27435590503.269524,19.203252479301124,2.9550796646507824,1
2023-10-02,27071.25,528531979463.95917,123.542855428305,0.08074747500000001,338473576.5159041,27330886.65787856,27462921389.927402,19.245293388845706,2.9572665315582287,1
2023-10-03,27841.0,543579880514.9467,126.366253425398,0.08074747500000001,346208913.49424106,27955495.587153398,27490876885.514557,19.77310082827401,2.9843224700163407,1
2023-10-04,27394.25,534876519816.20447,123.104546864253,0.08074747500000001,337272731.13493973,27233921.425500274,27518110806.940056,19.4372543801702,2.9671915534696556,1
2023-10-05,27651.0,539908951680.0936,122.372423391431,0.08074747500000001,335266913.4011808,27071956.708189018,27545182763.648247,19.600848406517702,2.975572851346479,1
2023-10-06,27477.0,536530677535.22906,123.799069414759,0.08074747500000001,339175532.64317536,27387567.842716493,27572570331.490963,19.45885606908584,2.9683022913242656,1
2023-10-07,27903.0,544868493060.6536,127.63350585589,0.08074747500000001,349680837.96134245,28235844.721262556,27600806176.212227,19.74103544592291,2.9826994868304175,1
2023-10-08,27917.61,545173297392.31665,128.532889916007,0.08074747500000001,352144903.87947124,28434811.822385013,27629240988.03461,19.73175077912617,2.982229053002157,1
2023-10-09,27907.25,544990482880.2946,128.479170898169,0.08074747500000001,351997728.48813426,28422927.781152412,27657663915.81576,19.704863163394187,2.980865466364758,1
2023-10-10,27588.25,538780111417.93915,128.260731749102,0.08074747500000001,351399265.0660329,28374603.37093787,27686038519.1867,19.460354035286024,2.968379269566985,1
2023-10-11,27404.0,535200957066.02954,131.740208933764,0.08074747500000001,360932079.27058625,29144354.04759969,27715182873.2343,19.31074961741982,2.9606619158536835,1
2023-10-12,26710.0,521665747869.0347,134.619775329748,0.08074747500000001,368821302.2732822,29781388.8847793,27744964262.11908,18.802177683150905,2.933972697337794,1
2023-10-13,26736.0,522192188087.8556,131.980171817604,0.08074747500000001,361589511.8290521,29197440.06667859,27774161702.185757,18.801366308987838,2.933929543205122,1
2023-10-14,26848.0,524398418221.86334,128.980621663826,0.08074747500000001,353371566.20226306,28533861.707628086,27802695563.893383,18.861423598900444,2.9371187568010053,1
2023-10-15,26826.0,523987397823.82324,131.260278955404,0.08074747500000001,359617202.61754525,29038181.077930175,27831733744.971313,18.826976523462115,2.935290762780631,1
2023-10-16,26985.5,527121670901.3891,130.104946584546,0.08074747500000001,356451908.450811,28782591.56633416,27860516336.537647,18.92002519027603,2.940220895032784,1
2023-10-17,28395.25,554678804392.4087,131.362685649123,0.08074747500000001,359897768.9017069,29060836.09694636,27889577172.634594,19.888390596923877,2.990136174404734,1
2023-10-18,28468.0,556119720089.8403,130.68870983513,0.08074747500000001,358051259.82227397,28911735.151217576,27918488907.785812,19.919406165809768,2.991694440758772,1
2023-10-19,28258.32,552043287552.3506,128.776096286924,0.08074747500000001,352811222.70390135,28488615.38500271,27946977523.170815,19.753237611997648,2.983317407633522,1
2023-10-20,28724.0,561160587566.1504,129.336520999502,0.08074747500000001,354346632.875348,28612595.879436344,27975590119.05025,20.058936564988585,2.9986747684161323,1
2023-10-21,29835.0,582886136424.3127,130.981022844624,0.08074747500000001,358852117.38253146,28976402.37704303,28004566521.427296,20.81396746413931,3.035624274042509,1
2023-10-22,29938.0,584919231386.4426,130.489139586871,0.08074747500000001,357504492.01882464,28867585.031677745,28033434106.458973,20.86505810045141,3.038075898628731,1
